Orthogroup	schistosoma_mansoni	s.mekongi
OG0000323	Smp_306120.1, Smp_344820.1, Smp_344820.2, Smp_344820.3	KAK4474862.1, KAK4474841.1, KAK4474302.1
OG0000324	Smp_147250.1	KAK4469242.1
OG0000325	Smp_151050.1	KAK4470078.1
OG0000326	Smp_069130.1	KAK4472025.1
OG0000328	Smp_035090.1	KAK4472902.1
OG0000329	Smp_018240.1, Smp_018240.2	KAK4474582.1
OG0000332	Smp_084870.1	KAK4471340.1
OG0000333	Smp_044610.1, Smp_342180.1	KAK4475969.1
OG0000334	Smp_135470.1	KAK4467411.1
OG0000334	Smp_345090.1	KAK4470467.1
OG0000335	Smp_153190.1	KAK4475523.1
OG0000336	Smp_007760.1	KAK4475727.1
OG0000336	Smp_130540.1	KAK4474964.1
OG0000337	Smp_019490.1	KAK4472168.1
OG0000339	Smp_246410.1	KAK4467425.1, KAK4472411.1
OG0000342	Smp_071630.1	KAK4475138.1
OG0000342	Smp_022810.1	KAK4475770.1
OG0000342	Smp_004910.1	KAK4475114.1
OG0000343	Smp_033530.1, Smp_140270.1, Smp_033540.1	KAK4472517.1
OG0000344	Smp_153780.1	KAK4475916.1
OG0000345	Smp_089460.1	KAK4469954.1
OG0000346	Smp_130250.1	KAK4467924.1
OG0000347	Smp_160940.1	KAK4472404.1
OG0000348	Smp_347690.2	KAK4475811.1
OG0000349	Smp_130750.1	KAK4474470.1
OG0000350	Smp_079650.1	KAK4473804.1
OG0000351	Smp_133790.1	KAK4475929.1
OG0000352	Smp_315890.1	KAK4474141.1
OG0000353	Smp_126740.1	KAK4470494.1
OG0000354	Smp_304130.1, Smp_304130.2	KAK4475576.1
OG0000355	Smp_158050.1	KAK4476092.1
OG0000356	Smp_332940.1	KAK4476066.1
OG0000357	Smp_040560.1	KAK4473507.1
OG0000358	Smp_335900.1, Smp_018800.1, Smp_132470.1, Smp_309540.1, Smp_132480.1, Smp_335890.1, Smp_335890.3	KAK4467361.1, KAK4467360.1
OG0000359	Smp_194800.1	KAK4474769.1
OG0000360	Smp_039640.1	KAK4475054.1
OG0000361	Smp_157340.1	KAK4469276.1
OG0000362	Smp_246570.1	KAK4471736.1
OG0000363	Smp_302930.1	KAK4473533.1
OG0000364	Smp_164940.1	KAK4472841.1
OG0000365	Smp_190770.1, Smp_325650.1	KAK4471088.1, KAK4472119.1
OG0000366	Smp_147240.1	KAK4469245.1
OG0000367	Smp_006700.1	KAK4472601.1
OG0000368	Smp_244010.1	KAK4475121.1
OG0000369	Smp_171610.1	KAK4467393.1, KAK4475644.1
OG0000370	Smp_147950.1, Smp_147950.2	KAK4473705.1
OG0000371	Smp_302090.1	KAK4473814.1
OG0000372	Smp_091840.1	KAK4474367.1
OG0000372	Smp_091820.1	KAK4474369.1
OG0000373	Smp_025260.1	KAK4474690.1
